timestamp,batch_size,model_params,embedding_dim,final_embedding_dim,hidden_dims,learning_rate,epochs,train_loss,train_acc,val_loss,val_acc,recall_at_5,recall_at_10,mrr,similarity_gap,train_batches,test_batches,gpu_optimization,throughput_batch_s,throughput_sample_s
2025-11-10 01:48:46,256,2841440,32,128,"[256, 128]",0.001,1/3,4.6104727151489255,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,118.17598426551396,30253.051971971578
2025-11-10 01:49:10,256,2841440,32,128,"[256, 128]",0.001,2/3,5.274801641845703,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,151.45440169496925,38772.32683391213
2025-11-10 01:49:34,256,2841440,32,128,"[256, 128]",0.001,3/3,5.444064912109375,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,152.29998989330053,38988.79741268494
2025-11-10 01:58:16,256,2841440,32,128,"[256, 128]",0.001,1/3,4.479725847778321,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,117.29550457855348,30027.649172109694
2025-11-10 01:58:40,256,2841440,32,128,"[256, 128]",0.001,2/3,5.178372877807617,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,150.7003151907578,38579.280688834
2025-11-10 01:59:04,256,2841440,32,128,"[256, 128]",0.001,3/3,5.279400437011719,,,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,150.61775492050998,38558.14525965056
2025-11-10 02:02:10,256,2841440,32,128,"[256, 128]",0.001,1/3,5.540629926200111,,5.513301849365234,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,15.23201605420522,3899.396109876536
2025-11-10 02:02:13,256,2841440,32,128,"[256, 128]",0.001,2/3,5.457791032882544,,,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,152.7855654440994,39113.10475368945
2025-11-10 02:02:15,256,2841440,32,128,"[256, 128]",0.001,3/3,5.276587196813224,,,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,158.20840624225718,40501.35199801784
2025-11-10 02:06:13,256,2841440,32,128,"[256, 128]",0.001,1/1,5.677133440971375,,5.522417068481445,,,,,,32,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,2.888976364665159,739.5779493542807
2025-11-10 02:07:33,256,2841440,32,128,"[256, 128]",0.001,1/1,4.571014309082031,,5.398952007293701,,,,,,3125,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,115.25059636239602,29504.152668773386
2025-11-10 02:08:29,256,2841440,32,128,"[256, 128]",0.001,1/3,5.549052204948644,,5.512633800506592,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,25.14610286755492,6437.402334094059
2025-11-10 02:08:31,256,2841440,32,128,"[256, 128]",0.001,2/3,5.455959307880828,,5.514986038208008,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,153.21422413496308,39222.84137855055
2025-11-10 02:08:34,256,2841440,32,128,"[256, 128]",0.001,3/3,5.388261411136712,,5.485530376434326,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,161.60020916170618,41369.65354539678
2025-11-10 02:09:14,256,2841440,32,128,"[256, 128]",0.001,1/3,5.542047348266212,,5.514172554016113,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,25.169314573824348,6443.344530899033
2025-11-10 02:09:17,256,2841440,32,128,"[256, 128]",0.001,2/3,5.39238242981152,,5.47557544708252,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,153.5335650886449,39304.5926626931
2025-11-10 02:09:19,256,2841440,32,128,"[256, 128]",0.001,3/3,5.012440946536323,,5.433609962463379,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,158.13025604890314,40481.3455485192
2025-11-10 02:10:08,256,2841440,32,128,"[256, 128]",0.001,1/3,5.548450409033047,,5.513901710510254,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,25.461288834843188,6518.089941719856
2025-11-10 02:10:11,256,2841440,32,128,"[256, 128]",0.001,2/3,5.481104622252833,,5.510787963867188,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,156.9212510170523,40171.84026036539
2025-11-10 02:10:13,256,2841440,32,128,"[256, 128]",0.001,3/3,5.429621224205334,,5.5045905113220215,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,155.05543466449976,39694.19127411194
2025-11-10 02:17:36,256,2841440,32,128,"[256, 128]",0.001,1/2,5.5507888062693445,,5.513797760009766,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,24.363719147370794,6237.112101726923
2025-11-10 02:17:38,256,2841440,32,128,"[256, 128]",0.001,1/3,5.534685201919117,,5.519899368286133,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,24.558265688304683,6286.916016205999
2025-11-10 02:17:38,256,2841440,32,128,"[256, 128]",0.001,2/2,5.483605576780277,,5.510967254638672,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,157.9309715454886,40430.32871564508
2025-11-10 02:17:40,256,2841440,32,128,"[256, 128]",0.001,2/3,5.48591691769731,,5.511895656585693,,,,,,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,153.34744668973934,39256.94635257327
2025-11-10 02:17:42,256,2841440,32,128,"[256, 128]",0.001,3/3,5.4392502026055185,N/A,5.550160884857178,N/A,N/A,N/A,N/A,N/A,313,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,159.66843108842875,40875.11835863776
