operation,total_time,avg_time,count
database_connection,0.04292702674865723,0.04292702674865723,1
schema_building,0.004714012145996094,0.004714012145996094,1
dataloader_creation,0.650648832321167,0.650648832321167,1
batch_total,0.1335771083831787,0.006678855419158936,20
gpu_transfer,0.09281516075134277,0.004640758037567139,20
gpu_compute,0.040755510330200195,0.0020377755165100096,20
